
20160728 18:43:34 PDT,35.8
20160728 18:46:38 PDT,35.2
20160728 18:50:01 PDT,34.7
20160728 18:51:01 PDT,34.7
20160728 18:52:02 PDT,35.8
20160728 18:53:01 PDT,35.8
20160728 18:54:01 PDT,36.3
20160728 18:55:01 PDT,35.8
20160728 18:56:01 PDT,35.8
20160728 18:57:01 PDT,35.2
20160728 18:58:01 PDT,35.8
20160728 18:59:02 PDT,34.7
20160728 19:00:01 PDT,35.2
20160728 19:01:01 PDT,35.8
20160728 19:02:01 PDT,36.3
20160728 19:03:01 PDT,34.7
20160728 19:04:01 PDT,35.8
20160728 19:05:01 PDT,35.8
20160728 19:06:02 PDT,35.8
20160728 19:07:01 PDT,35.8
20160728 19:08:01 PDT,35.8
20160728 19:09:01 PDT,34.7
20160728 19:10:01 PDT,35.8
20160728 19:11:01 PDT,35.8
20160728 19:12:02 PDT,34.7
20160728 19:13:01 PDT,35.8
20160728 19:14:01 PDT,35.2
20160728 19:15:01 PDT,35.8
20160728 19:16:01 PDT,35.8
20160728 19:17:01 PDT,35.2
20160728 19:18:01 PDT,35.8
20160728 19:19:01 PDT,35.2
20160728 19:20:01 PDT,34.7
20160728 19:21:01 PDT,35.8
20160728 19:22:01 PDT,34.7
20160728 19:23:02 PDT,34.7
20160728 19:24:01 PDT,35.8
20160728 19:25:01 PDT,35.2
20160728 19:26:01 PDT,35.8
20160728 19:27:01 PDT,35.8
20160728 19:28:01 PDT,34.7
20160728 19:29:01 PDT,34.7
20160728 19:30:01 PDT,38.5
20160728 19:31:01 PDT,35.8
20160728 19:32:36 PDT,35.8
20160728 19:33:01 PDT,35.8
20160728 19:34:01 PDT,34.7
20160728 19:35:01 PDT,34.7
20160728 19:36:02 PDT,34.7
20160728 19:37:01 PDT,34.7
20160728 19:38:01 PDT,34.7
20160728 19:39:01 PDT,35.8
20160728 19:40:01 PDT,35.8
20160728 19:41:01 PDT,35.8
20160728 19:42:02 PDT,35.8
20160728 19:43:01 PDT,35.2
20160728 19:44:01 PDT,34.2
20160728 19:45:01 PDT,35.8
20160728 19:46:01 PDT,34.7
20160728 19:47:01 PDT,35.8
20160728 19:48:01 PDT,35.8
20160728 19:49:02 PDT,35.2
20160728 19:50:01 PDT,34.7
20160728 19:51:01 PDT,34.7
20160728 19:52:01 PDT,34.7
20160728 19:53:01 PDT,34.7
20160728 19:54:01 PDT,35.2
20160728 19:55:02 PDT,34.7
20160728 19:56:01 PDT,36.3
20160728 19:57:01 PDT,35.8
20160728 19:58:01 PDT,35.8
20160728 19:59:01 PDT,35.8
20160728 20:00:01 PDT,35.8
20160728 20:01:01 PDT,36.9
20160728 20:02:01 PDT,35.8
20160728 20:03:01 PDT,35.8
20160728 20:04:01 PDT,35.8
20160728 20:05:02 PDT,34.7
20160728 20:06:01 PDT,35.8
20160728 20:07:01 PDT,34.7
20160728 20:08:01 PDT,34.7
20160728 20:09:01 PDT,34.7
20160728 20:10:02 PDT,35.8
20160728 20:11:01 PDT,35.8
20160728 20:12:01 PDT,35.8
20160728 20:13:01 PDT,35.8
20160728 20:14:01 PDT,35.8
20160728 20:15:01 PDT,35.8
20160728 20:16:01 PDT,34.7
20160728 20:17:02 PDT,35.8
20160728 20:18:01 PDT,34.2
20160728 20:19:01 PDT,34.2
20160728 20:20:01 PDT,34.7
20160728 20:21:01 PDT,34.7
20160728 20:22:01 PDT,34.7
20160728 20:23:02 PDT,34.7
20160728 20:24:01 PDT,34.7
20160728 20:25:01 PDT,35.8
20160728 20:26:01 PDT,35.2
20160728 20:27:01 PDT,35.8
20160728 20:28:01 PDT,35.8
20160728 20:29:01 PDT,34.7
20160728 20:30:01 PDT,34.7
20160728 20:31:01 PDT,34.7
20160728 20:32:01 PDT,35.8
20160728 20:33:01 PDT,34.7
20160728 20:34:01 PDT,34.7
20160728 20:35:01 PDT,34.2
20160728 20:36:02 PDT,35.2
20160728 20:37:01 PDT,34.2
20160728 20:38:01 PDT,35.8
20160728 20:39:01 PDT,35.8
20160728 20:40:01 PDT,35.8
20160728 20:41:01 PDT,34.7
20160728 20:42:01 PDT,35.8
20160728 20:44:01 PDT,35.2
20160728 20:45:01 PDT,36.9
20160728 20:46:01 PDT,35.8
20160728 20:47:01 PDT,34.7
20160728 20:48:02 PDT,34.7
20160728 20:49:01 PDT,34.2
20160728 20:50:01 PDT,35.8
20160728 20:51:01 PDT,35.8
20160728 20:52:01 PDT,35.8
20160728 20:53:01 PDT,34.7
20160728 20:54:01 PDT,34.7
20160728 20:55:01 PDT,34.2
20160728 20:56:01 PDT,34.2
20160728 20:57:01 PDT,34.7
20160728 20:58:01 PDT,34.7
20160728 20:59:01 PDT,34.7
20160728 21:00:01 PDT,34.7
20160728 21:01:01 PDT,35.2
20160728 21:02:01 PDT,34.7
20160728 21:03:01 PDT,34.7
20160728 21:04:01 PDT,35.2
20160728 21:05:01 PDT,34.7
20160728 21:06:01 PDT,34.7
20160728 21:07:02 PDT,34.2
20160728 21:08:01 PDT,34.7
20160728 21:09:01 PDT,34.2
20160728 21:10:01 PDT,34.7
20160728 21:11:01 PDT,34.7
20160728 21:12:01 PDT,34.7
20160728 21:13:01 PDT,34.7
20160728 21:14:02 PDT,34.2
20160728 21:15:01 PDT,34.7
20160728 21:16:01 PDT,34.2
20160728 21:17:01 PDT,34.7
20160728 21:18:02 PDT,34.7
20160728 21:19:01 PDT,34.7
20160728 21:20:01 PDT,34.7
20160728 21:21:02 PDT,35.2
20160728 21:22:01 PDT,34.7
20160728 21:23:01 PDT,34.7
20160728 21:24:01 PDT,34.7
20160728 21:25:01 PDT,34.7
20160728 21:26:01 PDT,34.7
20160728 21:27:01 PDT,34.7
20160728 21:28:02 PDT,34.2
20160728 21:29:01 PDT,33.6
20160728 21:30:01 PDT,33.6
20160728 21:31:01 PDT,34.2
20160728 21:32:01 PDT,34.2
20160728 21:33:02 PDT,34.2
20160728 21:34:01 PDT,34.7
20160728 21:35:01 PDT,34.7
20160728 21:36:01 PDT,34.7
20160728 21:37:01 PDT,34.7
20160728 21:38:02 PDT,34.7
20160728 21:39:02 PDT,34.2
20160728 21:40:01 PDT,34.2
20160728 21:41:01 PDT,33.6
20160728 21:42:01 PDT,33.6
20160728 21:43:01 PDT,33.6
20160728 21:44:02 PDT,34.2
20160728 21:45:01 PDT,34.7
20160728 21:46:01 PDT,34.2
20160728 21:47:01 PDT,35.8
20160728 21:48:01 PDT,35.8
20160728 21:49:02 PDT,35.2
20160728 21:50:01 PDT,34.7
20160728 21:51:01 PDT,34.7
20160728 21:52:01 PDT,34.2
20160728 21:53:02 PDT,33.6
20160728 21:54:01 PDT,33.6
20160728 21:55:01 PDT,34.2
20160728 21:56:01 PDT,34.2
20160728 21:57:01 PDT,34.2
20160728 21:58:01 PDT,34.2
20160728 21:59:02 PDT,35.8
20160728 22:00:01 PDT,35.2
20160728 22:01:01 PDT,34.7
20160728 22:02:04 PDT,35.8
20160728 22:03:01 PDT,34.2
20160728 22:04:02 PDT,35.2
20160728 22:05:01 PDT,34.7
20160728 22:06:01 PDT,34.7
20160728 22:07:01 PDT,34.7
20160728 22:08:01 PDT,34.7
20160728 22:09:01 PDT,34.7
20160728 22:10:01 PDT,34.2
20160728 22:11:02 PDT,34.7
20160728 22:12:01 PDT,34.7
20160728 22:13:01 PDT,34.2
20160728 22:14:01 PDT,34.2
20160728 22:15:01 PDT,33.6
20160728 22:16:01 PDT,34.2
20160728 22:17:02 PDT,33.6
20160728 22:18:01 PDT,33.6
20160728 22:19:01 PDT,33.6
20160728 22:20:01 PDT,33.6
20160728 22:21:01 PDT,33.6
20160728 22:22:01 PDT,34.2
20160728 22:23:01 PDT,33.6
20160728 22:24:01 PDT,33.6
20160728 22:25:01 PDT,34.2
20160728 22:26:01 PDT,33.1
20160728 22:27:01 PDT,33.6
20160728 22:28:02 PDT,33.6
20160728 22:29:01 PDT,33.6
20160728 22:30:01 PDT,33.6
20160728 22:31:01 PDT,33.6
20160728 22:32:01 PDT,34.2
20160728 22:33:01 PDT,33.6
20160728 22:34:01 PDT,33.6
20160728 22:35:02 PDT,33.6
20160728 22:36:01 PDT,32.6
20160728 22:37:01 PDT,34.2
20160728 22:38:01 PDT,33.6
20160728 22:39:02 PDT,33.1
20160728 22:40:01 PDT,34.2
20160728 22:41:01 PDT,33.6
20160728 22:42:01 PDT,33.6
20160728 22:43:02 PDT,33.6
20160728 22:44:01 PDT,33.6
20160728 22:45:01 PDT,32.6
20160728 22:46:01 PDT,33.6
20160728 22:47:01 PDT,32.6
20160728 22:48:02 PDT,32.6
20160728 22:49:01 PDT,33.6
20160728 22:50:01 PDT,33.6
20160728 22:51:01 PDT,34.2
20160728 22:52:01 PDT,33.6
20160728 22:53:02 PDT,33.1
20160728 22:54:01 PDT,32.6
20160728 22:55:01 PDT,33.6
20160728 22:56:01 PDT,32.6
20160728 22:57:01 PDT,32.6
20160728 22:58:01 PDT,32.6
20160728 22:59:02 PDT,33.1
20160728 23:00:01 PDT,33.6
20160728 23:01:01 PDT,33.6
20160728 23:02:01 PDT,33.6
20160728 23:03:01 PDT,34.2
20160728 23:04:01 PDT,32.6
20160728 23:05:01 PDT,33.1
20160728 23:06:02 PDT,32.6
20160728 23:07:01 PDT,33.1
20160728 23:08:01 PDT,33.6
20160728 23:09:01 PDT,33.6
20160728 23:10:01 PDT,33.6
20160728 23:11:01 PDT,32.6
20160728 23:12:01 PDT,33.1
20160728 23:13:02 PDT,33.1
20160728 23:14:01 PDT,33.1
20160728 23:15:01 PDT,33.1
20160728 23:16:01 PDT,33.1
20160728 23:17:01 PDT,33.1
20160728 23:18:01 PDT,33.1
20160728 23:19:02 PDT,33.6
20160728 23:20:01 PDT,33.6
20160728 23:21:01 PDT,33.6
20160728 23:22:01 PDT,33.1
20160728 23:23:01 PDT,32.6
20160728 23:24:01 PDT,32.6
20160728 23:25:01 PDT,32.0
20160728 23:26:01 PDT,32.6
20160728 23:27:01 PDT,32.6
20160728 23:28:01 PDT,32.0
20160728 23:29:01 PDT,32.6
20160728 23:30:01 PDT,32.6
20160728 23:31:01 PDT,33.1
20160728 23:32:02 PDT,32.6
20160728 23:33:01 PDT,33.6
20160728 23:34:01 PDT,33.1
20160728 23:35:01 PDT,32.6
20160728 23:36:01 PDT,32.0
20160728 23:37:01 PDT,32.6
20160728 23:38:02 PDT,31.5
20160728 23:39:01 PDT,32.6
20160728 23:40:01 PDT,32.0
20160728 23:41:01 PDT,33.1
20160728 23:42:01 PDT,32.6
20160728 23:43:01 PDT,33.1
20160728 23:44:01 PDT,32.6
20160728 23:45:02 PDT,32.6
20160728 23:46:01 PDT,31.5
20160728 23:47:01 PDT,32.0
20160728 23:48:01 PDT,32.0
20160728 23:49:01 PDT,31.5
20160728 23:50:01 PDT,32.6
20160728 23:51:01 PDT,32.6
20160728 23:52:02 PDT,32.0
20160728 23:53:01 PDT,32.0
20160728 23:54:01 PDT,32.0
20160728 23:55:01 PDT,31.5
20160728 23:56:01 PDT,32.0
20160728 23:57:01 PDT,31.5
20160728 23:58:01 PDT,32.6
20160728 23:59:01 PDT,32.0
20160729 00:00:01 PDT,33.1
20160729 00:01:02 PDT,32.6
20160729 00:02:01 PDT,32.0
20160729 00:03:01 PDT,32.6
20160729 00:04:01 PDT,32.0
20160729 00:05:01 PDT,31.5
20160729 00:06:01 PDT,31.5
20160729 00:07:02 PDT,32.0
20160729 00:08:01 PDT,31.5
20160729 00:09:01 PDT,31.5
20160729 00:10:01 PDT,31.5
20160729 00:11:01 PDT,32.6
20160729 00:12:01 PDT,32.6
20160729 00:13:01 PDT,32.6
20160729 00:14:01 PDT,32.0
20160729 00:15:01 PDT,32.6
20160729 00:16:01 PDT,31.5
20160729 00:17:01 PDT,32.6
20160729 00:18:01 PDT,31.5
20160729 00:19:02 PDT,31.5
20160729 00:20:01 PDT,32.0
20160729 00:21:01 PDT,32.0
20160729 00:22:01 PDT,32.0
20160729 00:23:01 PDT,33.1
20160729 00:24:01 PDT,32.6
20160729 00:25:01 PDT,32.0
20160729 00:26:01 PDT,32.6
20160729 00:27:01 PDT,31.5
20160729 00:28:01 PDT,31.5
20160729 00:29:01 PDT,31.5
20160729 00:30:01 PDT,31.5
20160729 00:31:01 PDT,32.0
20160729 00:32:02 PDT,31.5
20160729 00:33:01 PDT,32.0
20160729 00:34:01 PDT,32.6
20160729 00:35:02 PDT,32.6
20160729 00:36:01 PDT,32.0
20160729 00:37:01 PDT,32.0
20160729 00:38:01 PDT,32.0
20160729 00:39:01 PDT,31.5
20160729 00:40:01 PDT,31.5
20160729 00:41:02 PDT,31.5
20160729 00:42:01 PDT,31.5
20160729 00:43:01 PDT,32.0
20160729 00:44:01 PDT,32.0
20160729 00:45:01 PDT,32.0
20160729 00:46:01 PDT,31.5
20160729 00:47:01 PDT,31.5
20160729 00:48:02 PDT,31.5
20160729 00:49:01 PDT,31.5
20160729 00:50:01 PDT,31.5
20160729 00:51:01 PDT,32.0
20160729 00:52:01 PDT,31.5
20160729 00:53:01 PDT,32.0
20160729 00:54:02 PDT,31.5
20160729 00:55:01 PDT,31.5
20160729 00:56:01 PDT,31.5
20160729 00:57:01 PDT,31.5
20160729 00:58:01 PDT,30.9
20160729 00:59:01 PDT,30.9
20160729 01:00:02 PDT,31.5
20160729 01:01:01 PDT,30.9
20160729 01:02:01 PDT,32.0
